"animal","X","Y","frameID","quadrant"
"blue",453.0751,371.4247,652,2
"blue",453.0766,371.2055,653,2
"blue",453.08955,371.1671,654,2
"blue",453.11495,371.12185,655,2
"blue",453.13685,371.0738,656,2
"blue",453.1481,371.00645,657,2
"blue",453.16585,370.93765,658,2
"blue",453.18255,370.87825,659,2
"blue",453.19505,370.8209,660,2
"blue",453.19505,370.79315,661,2
"blue",453.2186,370.78375,662,2
"blue",453.23805,370.74945,663,2
"blue",453.2833,370.7143,664,2
"blue",453.33895,370.6998,665,2
"blue",453.37975,370.67575,666,2
"blue",453.52515,370.6504,667,2
"blue",453.66245,370.6504,668,2
"blue",453.7013,370.6504,669,2
"blue",453.75755,370.6381,670,2
"blue",453.8176,370.6381,671,2
"blue",453.85275,370.6381,672,2
"blue",453.8631,370.6381,673,2
"blue",453.8871,370.6381,674,2
"blue",453.9137,370.6381,675,2
"blue",453.93135,370.6381,676,2
"blue",453.9585,370.6381,677,2
"blue",453.9585,370.6381,678,2
"blue",453.9585,370.6381,679,2
"blue",453.9585,370.6381,680,2
"blue",453.93135,370.6381,681,2
"blue",453.9137,370.6381,682,2
"blue",453.8871,370.6381,683,2
"blue",453.8631,370.6381,684,2
"blue",453.85275,370.6381,685,2
"blue",453.85275,370.63445,686,2
"blue",453.8631,370.62775,687,2
"blue",453.8631,370.6235,688,2
"blue",453.8631,370.62135,689,2
"blue",453.8631,370.6094,690,2
"blue",453.8631,370.5993,691,2
"blue",453.8631,370.59335,692,2
"blue",453.8631,370.58115,693,2
"blue",453.8631,370.56385,694,2
"blue",453.8631,370.5346,695,2
"blue",453.88085,370.5042,696,2
"blue",453.90265,370.49195,697,2
"blue",453.92655,370.48115,698,2
"blue",453.9585,370.48115,699,2
"blue",453.97405,370.48115,700,2
"blue",453.98145,370.48115,701,2
"blue",453.98145,370.48115,702,2
"blue",453.9888,370.49195,703,2
"blue",453.9888,370.5042,704,2
"blue",453.9888,370.5042,705,2
"blue",453.9888,370.5088,706,2
"blue",453.9888,370.5318,707,2
"blue",453.9888,370.5503,708,2
"blue",453.9888,370.56385,709,2
"blue",453.9888,370.58115,710,2
"blue",453.98145,370.59335,711,2
"blue",453.97405,370.5993,712,2
"blue",453.9585,370.6094,713,2
"blue",453.92655,370.62135,714,2
"blue",453.90465,370.6235,715,2
"blue",453.92655,370.6267,716,2
"blue",453.90465,370.63095,717,2
"blue",453.8984,370.63095,718,2
"blue",453.88085,370.63095,719,2
"blue",453.88515,370.6267,720,2
"blue",453.88515,370.6334,721,2
"blue",453.8696,370.6533,722,2
"blue",453.84965,370.6792,723,2
"blue",453.81455,370.6792,724,2
"blue",453.78955,370.6836,725,2
"blue",453.78955,370.6836,726,2
"blue",453.78955,370.6836,727,2
"blue",453.7677,370.6792,728,2
"blue",453.74065,370.67165,729,2
"blue",453.71645,370.67165,730,2
"blue",453.7013,370.64575,731,2
"blue",453.69655,370.6101,732,2
"blue",453.68335,370.58795,733,2
"blue",453.6658,370.5807,734,2
"blue",453.65515,370.56255,735,2
"blue",453.64725,370.54885,736,2
"blue",453.63585,370.54795,737,2
"blue",453.6163,370.54675,738,2
"blue",453.60205,370.52375,739,2
"blue",453.5909,370.4969,740,2
"blue",453.51955,370.49195,741,2
"blue",453.51955,370.46,742,2
"blue",453.51955,370.4122,743,2
"blue",453.51955,370.3892,744,2
"blue",453.49965,370.37875,745,2
"blue",453.41475,370.36795,746,2
"blue",453.40955,370.3476,747,2
"blue",453.3863,370.3476,748,2
"blue",453.3863,370.3321,749,2
"blue",453.3863,370.3294,750,2
"blue",453.3863,370.3265,751,2
"blue",453.3863,370.3265,752,2
"blue",453.34405,370.3265,753,2
"blue",453.30825,370.3265,754,2
"blue",453.27955,370.3265,755,2
"blue",453.25345,370.3265,756,2
